,"Location of Terminal Market",,"All Red Tomato count  apples are tray packed. ","Type of Apple (not all varieties are grown in all origins)",,"USDA specifications for size, coloring, allowable imperfections, etc",,"Pricing in $",,,,"Where the product was grown ",,"Count size-how many apples fit into a case, so the higher the number, the smaller the apple",,,,,,,,,,,,,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/07,28,32,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/07,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/07,28,31,30,31,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/10,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/10,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/10,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/10,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/10,28,32,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/10,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/10,28,31,30,31,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/11,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.","occas lower","OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/11,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/11,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/11,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/11,28,31,29,30,WASHINGTON,,100s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/11,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/11,28,31,30,31,WASHINGTON,,125s,,,,,,,,,N,,,"CHILE GRANNY SMITH 90S-100S, NEW ZEALNAD BRABURNS 70S, AND WA FUJI 72S HIGHER;.",,"OTHERS ABOUT STEADY"
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/12,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/12,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/12,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/12,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/12,28,31,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/12,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/12,28,31,30,31,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/13,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/13,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/13,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/13,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/13,28,31,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/13,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/13,28,31,30,31,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/14,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/14,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/14,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/14,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/14,28,31,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/14,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/14,28,31,30,31,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/17,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,"occas lower",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/17,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/17,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/17,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/17,28,31,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/17,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/17,28,31,30,31,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/18,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/18,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/18,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/18,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/18,28,30,29,30,WASHINGTON,,100s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/18,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/18,28,28,,,WASHINGTON,,125s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/19,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/19,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/19,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/19,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/19,28,30,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/19,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/19,28,28,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/20,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/20,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/20,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/20,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/20,28,30,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/20,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/20,28,28,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/21,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/21,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/21,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/21,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/21,28,30,29,30,WASHINGTON,,100s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/21,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/21,28,28,,,WASHINGTON,,125s,,,,,,,,,N,,,"ME USONE MCINTOSH, NH LOOSE HONEYCRISP, MACOUN, AND NY CRAB APPLES LOWER; OTHERS ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/24,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/24,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/24,30,34,33,34,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/24,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/24,28,30,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/24,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/24,28,28,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/25,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/25,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/25,30,34,32,33,WASHINGTON,,80s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/25,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,"ABOUT STEADY.","occas higher",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/25,28,32,29,30,WASHINGTON,,100s,,,,,,,,,N,,,"ABOUT STEADY.","occas higher",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/25,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,"ABOUT STEADY.",,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/25,28,28,,,WASHINGTON,,125s,,,,,,,,,N,,,"ABOUT STEADY.","occas higher",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/26,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/26,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/26,30,34,32,33,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/26,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,"occas higher",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/26,28,32,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,"occas higher",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/26,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/26,28,28,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,"occas higher",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/27,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/27,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/27,30,34,32,33,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/27,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,"occas higher",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/27,28,32,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,"occas higher",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/27,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/27,28,28,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,"occas higher",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/28,30,34,32,33,WASHINGTON,,64s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/28,30,34,32,33,WASHINGTON,,72s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/28,30,34,32,33,WASHINGTON,,80s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/28,30,34,33,34,WASHINGTON,,88s,,,,,,,,,N,,,STEADY.,"occas higher",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/28,28,32,29,30,WASHINGTON,,100s,,,,,,,,,N,,,STEADY.,"occas higher",
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/28,28,28,,,WASHINGTON,,113s,,,,,,,,,N,,,STEADY.,,
APPLES,BOSTON,,"cartons tray pack","RED DELICIOUS",,WAExFcy,2018/09/28,28,28,,,WASHINGTON,,125s,,,,,,,,,N,,,STEADY.,"occas higher",
APPLES,BOSTON,,"cartons 12 3-lb film bags","RED DELICIOUS",,WAExFcy,2018/09/04,28,28,,,WASHINGTON,,"2 1/2"" min",,,,,,,,,N,,,STEADY.,,
