SITE_NAME,SITE_TYPE,SITE_ADDRESS_1,SITE_ADDRESS_2,SITE_CITY,SITE_STATE,SITE_ZIP,SITE_PHONE,SITE_PHONE_EXT,CONTACT_FIRST_NAME,CONTACT_LAST_NAME,CONTACT_PHONE,SPONSORING_ORGANIZATION,START_DATE,END_DATE,DAYS_OF_OPERATION,HOURS_OPEN,BREAKFAST_TIME,LUNCH_TIME,SNACK_TIME,SUPPER_TIME,MEAL_TYPES_SERVED
"EAST FALMOUTH LIBRARY (SF-215-033)",Open,"310 East Falmouth Highway"," ","East Falmouth",MA,2536,"508 5486340"," ",Ryan,Carey,"508 548 6340","Cape Cod YMCA (01-020-SF-215)",2018/07/09,2018/08/22,"M,T,W","11:30 AM - 12:30 PM"," ",11:30:00," "," ",L
"YMCA CAPE COD (SF-215-034)",Open,"2245 Iyannough Road"," ","West Barnstable",MA,2668,"508 362 6500",142,Taylaur,Pasquale,"508 363 6500","Cape Cod YMCA (01-020-SF-215)",2018/07/21,2018/08/25,SA,"11:00 AM - 11:45 AM"," ",11:00:00," "," ",L
"VILLAGE GREEN APRTMENTS (SF-215-035)",Open,"767 Independence Drive"," ",Hyannis,MA,2601,"508 534 9643"," ",Jaqueline,Smith,"508 534 9643","Cape Cod YMCA (01-020-SF-215)",2018/06/25,2018/08/23,"T,TH","11:30 AM - 01:30 PM"," ",11:30:00," "," ",L
"WAYPOINT ACADEMY (SF-215-036)",Closed,"33 Water Street"," ",Sandwich,MA,2563,"508 564 5099"," ",Kim,Gainey,"508 564 5099","Cape Cod YMCA (01-020-SF-215)",2018/07/05,2018/08/09,"M,T,W,TH","08:15 AM - 12:30 PM",08:15:00,11:30:00," "," ","B,L"
"NAUSET REGIONAL HIGH SCHOOL (SF-150-005)",Open,"100 CABLE RD."," ",EASTHAM,MA,2642,508-240-5974," ",Christine,Mickle,508-240-5974,"Church of the Holy Spirit (01-224-SF-250)",2018/07/02,2018/08/10,"M,T,W,TH,F","09:30 AM - 12:00 PM"," ",11:30:00,09:30:00," ","L,M"
"MONOMOY COMMUNITY SERVICES (SF-250-001)",Closed,"166 DEPOT RD."," ",CHATHAM,MA,2633,508-945-1507," ",THERESA,MALONE,508-945-1507,"Church of the Holy Spirit (01-224-SF-250)",2018/06/25,2018/08/17,"M,T,W,TH,F","12:00 PM - 04:30 PM"," ",12:00:00,16:00:00," ","L,A"
"CHATHAM COMMUNITY CENTER (SF-250-002)",Open,"702 MAIN ST."," ",CHATHAM,MA,2633,508-945-5175," ",GEORGIA,FARRELL,508-945-5175,"Church of the Holy Spirit (01-224-SF-250)",2018/07/02,2018/08/16,"M,T,W,TH,F","09:45 AM - 01:30 PM"," ",12:00:00,09:45:00," ","L,M"
"TRURO CENTRAL SCHOOL (SF-250-003)",Closed,"317 ROUTE 6"," ",TRURO,MA,2666,508-487-1632," ",Damion,Clements,508-487-1632,"Church of the Holy Spirit (01-224-SF-250)",2018/06/25,2018/08/24,"M,T,W,TH,F","09:30 AM - 12:45 PM"," ",11:45:00,09:30:00," ","L,M"
"FIRST CONGREGATIONAL CHURCH (SF-250-006)",Open,"650 MAIN ST. CHATHAM"," ",CHATHAM,MA,2633,508-241-2403," ",Amy/Karen,MIDDLETON/COSTA,508-241-2403,"Church of the Holy Spirit (01-224-SF-250)",2018/07/23,2018/07/27,"M,T,W,TH,F","09:00 AM - 12:15 PM"," ",11:30:00,09:00:00," ","L,M"
"ORLEANS ELEMENTARY SCHOOL (SF-250-007)",Open,"46 Eldredge Parkway"," ",Orleans,MA,2653,"508 237 5942"," ",Sarena,Kilawee," ","Church of the Holy Spirit (01-224-SF-250)",2018/07/02,2018/08/17,"M,T,W,TH,F","10:10 AM - 12:30 PM"," ",11:30:00,10:10:00," ","L,M"
"VETERAN'S MEMORIAL COMMUNITY CENTER (SF-250-008)",Open,"2 MAYFLOWER ST."," ",PROVINCETOWN,MA,2657,508-487-7097," ",ANGEL,LAMMIE,508-487-7097,"Church of the Holy Spirit (01-224-SF-250)",2018/06/25,2018/08/24,"M,T,W,TH,F","12:00 PM - 04:00 PM"," ",12:00:00,15:00:00," ","L,A"
"BAKER'S FIELD-WELLFLEET (SF-250-011)",Open,"70 KENDRICK AVE."," ",WELLFLEET,MA,2667,"508 349 0314"," ",BECKY,ROSENBERG,"508 349 0314","Church of the Holy Spirit (01-224-SF-250)",2018/07/02,2018/08/17,"M,T,W,TH,F","09:45 AM - 02:30 PM"," ",11:30:00,09:45:00," ","L,M"
"NAUSET MIDDLE SCHOOL (SF-250-012)",Open,"70 South Orleans Rd."," ",ORLEANS,MA,2653,"508 255 0016"," ",Alan,Harrison,508-240-3700,"Church of the Holy Spirit (01-224-SF-250)",2018/07/02,2018/08/10,"M,T,W,TH,F","10:10 AM - 12:30 PM"," ",11:30:00,10:10:00," ","L,M"
"Truro Public Library (SF-250-019)",Open,"7 Standish Way  (Front building )"," ",Truro,MA,2652,"508 487 1125"," ",Maggie,Hanelt,"508 487 1125","Church of the Holy Spirit (01-224-SF-250)",2018/06/28,2018/08/24,"TH,F","11:30 AM - 12:15 PM"," ",11:30:00," "," ",L
"HARWICH ELEMENTARY SCHOOL (SF-250-023)",Camp,"263 South Street"," ",Harwich,MA,2645,"508 430 7240"," ",Ann,Emerson,"508 430 7240","Church of the Holy Spirit (01-224-SF-250)",2018/07/02,2018/08/17,"M,T,W,TH,F","07:30 AM - 01:45 PM",07:30:00,11:15:00," "," ","B,L"
"Ezra Baker Elementary School (SF-219-001)",Open,"810 Rte 28"," ","West Dennis",MA,2670,508-398-7690," ",Rooney,Powers,508-398-7600,"Dennis-Yarmouth Regional School District (01-351-SF-219)",2018/06/25,2018/08/24,"M,T,W,TH,F","11:30 AM - 12:30 PM"," ",11:30:00," "," ",L
"John Kelly Park (SF-219-002)",Open,"Bob Crowell Road"," ","S. Dennis",MA,2660,508-760-6162," ",Dustin,Pineau,508-760-6162,"Dennis-Yarmouth Regional School District (01-351-SF-219)",2018/06/25,2018/08/24,"M,T,W,TH,F","11:30 AM - 12:30 PM"," ",11:30:00," "," ",L
"MATTACHEESE MIDDLE SCHOOL (SF-219-003)",Open,"400 HIGGINS CROWELL ROAD"," ","WEST YARMOUTH",MA,2673,508-778-7979," ",ROONEY,Powers,508-390-7600,"Dennis-Yarmouth Regional School District (01-351-SF-219)",2018/06/25,2018/08/24,"M,T,W,TH,F","11:30 AM - 12:30 PM"," ",11:30:00," "," ",L
"FLAX POND RECREATION AREA (SF-219-004)",Open,"31 DUPONT AVENUE"," ","SOUTH YARMOUTH",MA,2664,508-398-2231," ",PATRICIA,ARMSTRONG,508-398-2231,"Dennis-Yarmouth Regional School District (01-351-SF-219)",2018/06/25,2018/08/24,"M,T,W,TH,F","11:30 AM - 12:30 PM"," ",11:30:00," "," ",L
"STATION AVENUE ELEMENTARY SCHOOL (SF-219-005)",Open,"STATION AVENUE"," ","SOUTH YARMOUTH",MA,2664,508-398-7600," ",ROONEY,Powers,508-398-7600,"Dennis-Yarmouth Regional School District (01-351-SF-219)",2018/06/25,2018/08/24,"M,T,W,TH,F","11:30 AM - 12:30 PM"," ",11:30:00," "," ",L
"SWAN POND VILLAGE (SF-219-006)",Open,"1100 Alewife Circle"," ","South Yarmouth",MA,2664,"508 394 8262"," ",Catherine,Hopper,"508 394 8262","Dennis-Yarmouth Regional School District (01-351-SF-219)",2018/06/25,2018/08/24,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"Hoosac Valley Elementary (SF-203-001)",Open,"14 COMMERCIAL STREET"," ",ADAMS,MA,1220,413-743-8405,5,Amy,Garner,413-743-8405,"Adams-Cheshire Regional School District (02-004-SF-203)",2018/07/05,2018/08/10,"M,T,W,TH,F","08:30 AM - 12:30 PM",08:30:00,11:30:00," "," ","B,L"
"MONUMENT VALLEY REGIONAL MIDDLE SCHOOL (SF-285-001)",Closed,"313 Monument Valley Road"," ","Great Barrington",MA,1262,"413 644 2300",2139,Jody,Hall,"413 644 2300","Berkshire Hills Regional School District (02-113-SF-285)",2018/07/09,2018/08/02,"M,T,W,TH","08:30 AM - 01:00 PM",08:30:00,12:00:00," "," ","B,L"
"BRAYTON SCHOOL (SF-62-002)",Open,"20 BRAYTON HILL TERRACE"," ","NORTH ADAMS",MA,1247,413-662-3271," ",TRINITY,SPENCER,413-662-3271,"North Adams School Committee (02-209-SF-62)",2018/07/02,2018/08/17,"M,T,W,TH,F","08:00 AM - 12:30 PM",08:00:00,11:00:00," "," ","B,L"
"NORTH ADAMS SUNSHINE CAMP (SF-62-004)",Closed,"GEORGE FAIRS WAY"," ","NORTH ADAMS",MA,1247,413-662-3205," ",Crystal,Ames,"413 662-3207","North Adams School Committee (02-209-SF-62)",2018/07/02,2018/07/27,"M,T,TH,F","11:30 AM - 11:40 AM"," ",11:30:00," "," ",L
"CAMP ABENAKI (SF-62-006)",Closed,"George Fair Way"," ","North Adams",MA,1247,413-663-6529," ",Erica,Laprise,413-776-1631,"North Adams School Committee (02-209-SF-62)",2018/07/02,2018/08/24,"M,T,W,F","12:00 AM - 12:30 PM"," ",00:00:00," "," ",L
"MOHAWK FOREST APARTMENTS (SF-62-007)",Open,"201 MOHAWK FOREST BOULEVARD"," ","NORTH ADAMS",MA,1247,413-663-6400," ",DEBBIE,WEGNER,413-662-3207,"North Adams School Committee (02-209-SF-62)",2018/07/02,2018/08/24,"M,T,W,TH,F","11:45 AM - 12:15 PM"," ",11:45:00," "," ",L
"COLGROVE PARK ELEMENTARY SCHOOLS (SF-62-008)",Open,"24 CHURCH STREET"," ","NORTH ADAMS",MA,1247,413-662-3250," ",PAM,MILLER,413-662-3250,"North Adams School Committee (02-209-SF-62)",2018/07/02,2018/07/27,"M,T,W,TH,F","08:00 AM - 12:15 PM",08:00:00,11:15:00," "," ","B,L"
"MORNINGSIDE COMM. SCHOOL (SF-52-001)",Open,"100 BURBANK STREET"," ",PITTSFIELD,MA,1201,413-448-9690," ",Sylvana,Bryan,413-448-9608,"Pittsfield Public Schools (02-236-SF-52)",2018/06/27,2018/08/22,"M,T,W,TH,F","08:30 AM - 01:00 PM",08:30:00,12:30:00," "," ","B,L"
"SILVIO CONTE COMMUNITY SCHOOL (SF-52-002)",Open,"200 WEST UNION STREET"," ",PITTSFIELD,MA,1201,413-448-9606," ",Sylvana,Bryan,413-448-9608,"Pittsfield Public Schools (02-236-SF-52)",2018/06/27,2018/08/22,"M,T,W,TH,F","08:30 AM - 01:00 PM",08:30:00,12:30:00," "," ","B,L"
"DOWER SQUARE (SF-52-003)",Open,"253 WAHCONAH ST."," ",PITTSFIELD,MA,1201,413-443-5936," ",Sylvana,Bryan,413-448-9608,"Pittsfield Public Schools (02-236-SF-52)",2018/06/27,2018/08/22,"M,T,W,TH,F","12:00 PM - 12:30 PM"," ",12:00:00," "," ",L
"YMCA (SF-52-007)",Closed,"1350 West St"," ",PITTSFIELD,MA,1201,413-499-7650," ",Sylvana,Bryan,413-448-9608,"Pittsfield Public Schools (02-236-SF-52)",2018/06/27,2018/08/22,"M,T,W,TH,F","08:30 AM - 12:30 PM",08:30:00,11:45:00," "," ","B,L"
"CAMP STEVENSON (SF-52-008)",Closed,"600 Churchill St."," ",PITTSFIELD,MA,1201,413-442-5065," ",Sylvana,Bryan,413-448-9608,"Pittsfield Public Schools (02-236-SF-52)",2018/06/27,2018/08/17,"M,T,W,TH,F","09:00 AM - 01:00 PM",09:00:00,12:00:00," "," ","B,L"
"FIRST UNITED METHODIST CHURCH (SF-52-011)",Open,"55 Fenn St."," ",Pittsfield,MA,1201,413-499-0866," ",Sylvana,Bryan,413-448-9608,"Pittsfield Public Schools (02-236-SF-52)",2018/06/27,2018/08/22,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"HERBERG MIDDLE SCHOOL (SF-52-016)",Closed,"501 Pomeroy Avenue"," ",Pittsfield,MA,1201,413-499-9581," ",Sylvana,Bryan,4134489608,"Pittsfield Public Schools (02-236-SF-52)",2018/07/09,2018/08/10,"M,T,W,TH","08:00 AM - 12:00 PM",08:00:00,11:15:00," "," ","B,L"
"EGREMONT SCHOOL (SF-52-021)",Closed,"84 Egremont Ave."," ",Pittsfield,MA,1201,413-496-8076," ",Sylvana,Bryan,"413 496 8076","Pittsfield Public Schools (02-236-SF-52)",2018/07/09,2018/08/09,"M,T,W,TH","09:00 AM - 12:30 PM",09:00:00,12:00:00," "," ","B,L"
"MORNINGSIDE CS ACADEMICS/ENRICHMENT PRG (SF-52-022)",Closed,"100 BURBANK STREET"," ",PITTSFIELD,MA,1201,413-445-6743," ",SYLVANA,BRYAN,413-445-6743,"Pittsfield Public Schools (02-236-SF-52)",2018/07/05,2018/08/03,"M,T,W,TH,F","11:30 AM - 12:00 PM"," ",11:30:00," "," ",L
"CONTE CS ACADEMICS AND ENRICHMENT (SF-52-023)",Closed,"200 West Union St."," ",Pittsfield,MA,1201,413-445-6764," ",Sylvana,Bryan,413-445-6764,"Pittsfield Public Schools (02-236-SF-52)",2018/07/05,2018/08/10,"M,T,W,TH,F","11:30 AM - 12:00 PM"," ",11:30:00," "," ",L
"REID MIDDLE SCHOOL (SF-52-024)",Closed,"950 North Street"," ",Pittsfield,MA,1201,413-499-9582," ",Sylvana,Bryan," ","Pittsfield Public Schools (02-236-SF-52)",2018/07/02,2018/08/10,"M,T,W,TH,F","07:30 AM - 01:15 PM",07:30:00,11:30:00," "," ","B,L"
"BOYS & GIRLS CLUB OF PITTSFIELD (SF-52-025)",Closed,"16 MELVILLE STREET"," ",PITTSFIELD,MA,1201,"413 448 8258"," ",Ardell,Arsenault,"413 448 8258","Pittsfield Public Schools (02-236-SF-52)",2018/06/27,2018/08/17,"M,T,W,TH,F","07:30 AM - 01:00 PM",07:30:00,12:00:00," "," ","B,L"
"WILLIAMS SCHOOL (SF-52-172)",Closed,"50 Bushery Rd"," ",Pittsfield,MA,1201,"413 448 9832"," ",Sylvana,Bryan,"413 448 9608","Pittsfield Public Schools (02-236-SF-52)",2018/07/09,2018/08/02,"M,T,W,TH","09:00 AM - 12:30 PM",09:00:00,12:00:00," "," ","B,L"
"CLAPP PARK (SF-52-174)",Open,"245 West Housatonic South"," ",Pittsfield,MA,1201,413-448-9608," ",Sylvana,Bryan,413-448-9608,"Pittsfield Public Schools (02-236-SF-52)",2018/07/09,2018/08/17,"M,T,W,TH,F","12:00 PM - 12:30 PM"," ",12:00:00," "," ",L
"CROSBY SCHOOL (SF-52-175)",Closed,"517 West Street"," ",Pittsfield,MA,1201,413-445-6258," ",Sylvana,Bryan,413-445-6258,"Pittsfield Public Schools (02-236-SF-52)",2018/07/05,2018/08/03,"M,T,W,TH,F","08:30 AM - 12:00 PM",08:30:00,11:30:00," "," ","B,L"
"BERKSHIRE PEAK APARTMENTS (SF-52-176)",Open,"341 West Street"," ",Pittsfield,MA,1201,413-426-3692," ",Aaron,Robinson,413-426-3692,"Pittsfield Public Schools (02-236-SF-52)",2018/07/09,2018/08/17,"M,T,W,TH,F","12:00 PM - 12:30 PM"," ",12:00:00," "," ",L
"ASP/EOS PROGRAM (SF-52-177)",Closed,"53 Eagle St."," ",Pittsfield,MA,1201,4134489608," ",Sylvana,Bryan,"413 448 9608","Pittsfield Public Schools (02-236-SF-52)",2018/07/09,2018/08/09,"M,T,W,TH","08:00 AM - 12:00 PM",08:00:00,11:30:00," "," ","B,L"
"MARILYN HAMILTON SUMMER PROGRAM (SF-52-178)",Closed,"Conte School","200 West Union Street",Pittsfield,MA,1201,4134489608," ",Sylvana,Bryan,"413 445 6764","Pittsfield Public Schools (02-236-SF-52)",2018/07/09,2018/08/17,"M,T,W,TH","09:30 AM - 10:00 AM",09:30:00," "," "," ",B
"SPED AT BOYS & GIRLS CLUB (SF-52-179)",Closed,"PO Box 1187"," ",Pittsfield,MA,1201,4134489608," ",Sylvana,Bryan,"413 448 9608","Pittsfield Public Schools (02-236-SF-52)",2018/07/09,2018/08/03,"M,T,W,TH,F","11:00 AM - 12:00 PM"," ",11:00:00," "," ",L
"BRIGGS PLAYGROUND (SF-251-001)",Open,"36 East St."," ",Attleboro,MA,2703,508-971-2931," ",Pam,Tarallo,508-222-2933,"Attleboro Area Council of Churches (03-016-SF-251)",2018/07/03,2018/08/16,"T,W,TH","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"NICKERSON FIELD (SF-251-005)",Open,"30 Snell Street"," ",Attleboro,MA,2703,508-971-2931," ",Pamela,Tarallo,508-222-2933,"Attleboro Area Council of Churches (03-016-SF-251)",2018/07/03,2018/08/16,"T,W,TH","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"BALFOUR RIVERWALK PARK (SF-251-006)",Open,"25 County St."," ",Attleboro,MA,2703,5089712931," ",Pam,Tarallo,508-222-2933,"Attleboro Area Council of Churches (03-016-SF-251)",2018/07/03,2018/08/16,"T,W,TH","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"NORTON GLEN HOUSING (SF-251-007)",Open,"4 Norton Glen Road"," ",Norton,MA,2766,4019528698," ",Kristin,Ciproni," ","Attleboro Area Council of Churches (03-016-SF-251)",2018/07/03,2018/08/16,"T,W,TH","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"N. Attleboro Veterans Park (SF-251-008)",Open,"43 South Washington St","Town Hall Gazebo","North Attleboro",MA,2760,5086990145," ",Pam,Tarallo,5082222933,"Attleboro Area Council of Churches (03-016-SF-251)",2018/07/03,2018/08/16,"T,W,TH","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"UMASS DARTMOUTH UPWARD BOUND (SF-136-001)",Camp,"285 OLD WESTPORT ROAD"," ","NO. DARTMOUTH",MA,2747,508-999-8713," ",Kristin,Hagopian,508-999-8713,"University of Massachusetts - Dartmouth (03-072-SF-136)",2018/06/24,2018/08/03,"M,T,W,TH,F","07:30 AM - 06:00 PM",07:30:00,12:15:00," ",17:00:00,"B,L,S"
"WHEATON COLL./Emerson DINING (SF-154-001)",Closed,"26 EAST MAIN ST."," ",NORTON,MA,2766,508-286-8209," ",Becky,Ebeling,508-286-3874,"Bristol Community College (03-095-SF-154)",2018/06/24,2018/07/27,"S,M,T,W,TH,F","07:15 AM - 06:00 PM",07:15:00,12:00:00," ",17:00:00,"B,L,S"
"CAMP WELCH - (DAY CAMP) (SF-3C-002)",Closed,"127 NORTH MAIN STREET"," ",ASSONET,MA,2702,508-644-5275," ",Melissa,Viveiros,508-644-5275,"Thomas Chew Boys Club (03-095-SF-3C)",2018/06/25,2018/08/17,"M,T,W,TH,F","09:00 AM - 01:30 PM",09:00:00,12:00:00," "," ","B,L"
"BOYS & GIRLS CLUB OF FALL RIVER (SF-3C-003)",Closed,"803 BEDFORD STREET"," ","FALL RIVER",MA,2723,508-672-6340," ",William,Kiley,508-672-6340,"Thomas Chew Boys Club (03-095-SF-3C)",2018/06/25,2018/08/24,"M,T,W,TH,F","07:30 AM - 01:30 PM",07:30:00,12:30:00," "," ",B
"GRIFFIN PARK (SF-88-001)",Open,"BRANCH & FORTH STREETS"," ","FALL RIVER",MA,2720,508-679-0922," ",Grace,Gerling,508-679-0922,"Greater Fall River Recreation (03-095-SF-88)",2018/07/02,2018/08/24,"M,T,W,TH,F","11:45 AM - 12:45 PM"," ",11:45:00," "," ",L
"KENNEDY PARK (SF-88-002)",Open,"Middle STREET"," ","FALL RIVER",MA,2724,508-679-0922," ",Grace,Gerling,508-679-0922,"Greater Fall River Recreation (03-095-SF-88)",2018/07/02,2018/08/24,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"LAFAYETTE PARK (SF-88-003)",Open,"EASTERN AVE"," ","FALL RIVER",MA,2720,508-679-0922," ",Grace,Gerling,508-679-0922,"Greater Fall River Recreation (03-095-SF-88)",2018/07/02,2018/08/24,"M,T,W,TH,F","11:45 AM - 12:45 PM"," ",11:45:00," "," ",L
"MAPLEWOOD PARK (SF-88-004)",Open,"STAFFORD ROAD"," ","FALL RIVER",MA,2720,508-679-0922," ",Grace,Gerling,508-679-0922,"Greater Fall River Recreation (03-095-SF-88)",2018/07/02,2018/08/24,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"PULASKI PARK (SF-88-006)",Open,"WARREN & PULASKI STREETS"," ","FALL RIVER",MA,2721,508-679-0922," ",Grace,Gerling,508-679-0922,"Greater Fall River Recreation (03-095-SF-88)",2018/07/02,2018/08/24,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"ABBOTT COURT (SF-88-008)",Open,"KING PHILIP STREET"," ","FALL RIVER",MA,2724,508-679-0922," ",Grace,Gerling,508-679-0922,"Greater Fall River Recreation (03-095-SF-88)",2018/07/02,2018/08/24,"M,T,W,TH,F","12:00 PM - 01:00 PM"," ",12:00:00," "," ",L
"FATHER DIAFERIO VILLAGE (SF-88-012)",Open,"249 JOHNSON STREET"," ","FALL RIVER",MA,2720,508-675-3555," ",Grace,Gerling,508-679-0922,"Greater Fall River Recreation (03-095-SF-88)",2018/07/02,2018/08/24,"M,T,W,TH,F","12:15 PM - 01:15 PM"," ",12:15:00," "," ",L
"GREENE SCHOOL (SF-88-013)",Open,"409 Cambridge St."," ","FALL RIVER",MA,2720,508-679-2587," ",Grace,Gerling,508-679-0922,"Greater Fall River Recreation (03-095-SF-88)",2018/07/09,2018/08/09,"M,T,W,TH","11:30 AM - 12:30 PM"," ",11:30:00," "," ",L
"RUGGLES PARK (SF-88-015)",Open,"SEABURY & PINE ST"," ","FALL RIVER",MA,2720,508-679-0922," ",Grace,Gerling,508-679-0922,"Greater Fall River Recreation (03-095-SF-88)",2018/07/02,2018/08/24,"M,T,W,TH,F","11:45 AM - 12:45 PM"," ",11:45:00," "," ",L
"B M C DURFEE HIGH SCHOOL (SF-88-016)",Open,"360 ELSHREE ST"," ","FALL RIVER",MA,2720,508-675-8157," ",Grace,Gerling,508-679-0922,"Greater Fall River Recreation (03-095-SF-88)",2018/07/09,2018/08/24,"M,T,W,TH,F","11:30 AM - 12:30 PM"," ",11:30:00," "," ",L
